"","yrwk","year","week","cases","casesSouth","casesWest","casesEast","pop","popSouth","popWest","popEast"
"1",199501,1995,1,8,8,0,0,3232276,453759,810525,1338978
"2",199502,1995,2,2,2,0,0,3232276,453759,810525,1338978
"3",199503,1995,3,2,2,0,0,3232276,453759,810525,1338978
"4",199504,1995,4,1,1,0,1,3232276,453759,810525,1338978
"5",199505,1995,5,6,5,0,0,3232276,453759,810525,1338978
"6",199506,1995,6,2,2,0,0,3232276,453759,810525,1338978
"7",199507,1995,7,2,2,0,0,3232276,453759,810525,1338978
"8",199508,1995,8,1,1,0,0,3232276,453759,810525,1338978
"9",199509,1995,9,1,1,0,0,3232276,453759,810525,1338978
"10",199510,1995,10,1,1,0,0,3232276,453759,810525,1338978
"11",199511,1995,11,1,1,0,0,3232276,453759,810525,1338978
"12",199512,1995,12,1,1,0,0,3232276,453759,810525,1338978
"13",199513,1995,13,0,0,0,0,3232276,453759,810525,1338978
"14",199514,1995,14,3,3,0,0,3232276,453759,810525,1338978
"15",199515,1995,15,0,0,0,0,3232276,453759,810525,1338978
"16",199516,1995,16,0,0,0,0,3232276,453759,810525,1338978
"17",199517,1995,17,1,1,0,0,3232276,453759,810525,1338978
"18",199518,1995,18,1,1,0,0,3232276,453759,810525,1338978
"19",199519,1995,19,1,1,0,0,3232276,453759,810525,1338978
"20",199520,1995,20,1,1,0,0,3232276,453759,810525,1338978
"21",199521,1995,21,1,1,0,1,3232276,453759,810525,1338978
"22",199522,1995,22,1,0,0,0,3232276,453759,810525,1338978
"23",199523,1995,23,0,0,0,0,3232276,453759,810525,1338978
"24",199524,1995,24,2,2,0,0,3232276,453759,810525,1338978
"25",199525,1995,25,0,0,0,0,3232276,453759,810525,1338978
"26",199526,1995,26,0,0,0,0,3232276,453759,810525,1338978
"27",199527,1995,27,1,0,0,1,3232276,453759,810525,1338978
"28",199528,1995,28,1,1,0,0,3232276,453759,810525,1338978
"29",199529,1995,29,0,0,0,0,3232276,453759,810525,1338978
"30",199530,1995,30,2,2,0,0,3232276,453759,810525,1338978
"31",199531,1995,31,2,2,0,0,3232276,453759,810525,1338978
"32",199532,1995,32,2,2,0,0,3232276,453759,810525,1338978
"33",199533,1995,33,2,2,0,0,3232276,453759,810525,1338978
"34",199534,1995,34,1,1,0,0,3232276,453759,810525,1338978
"35",199535,1995,35,1,1,0,0,3232276,453759,810525,1338978
"36",199536,1995,36,2,2,0,0,3232276,453759,810525,1338978
"37",199537,1995,37,1,1,0,0,3232276,453759,810525,1338978
"38",199538,1995,38,2,2,0,0,3232276,453759,810525,1338978
"39",199539,1995,39,4,3,0,0,3232276,453759,810525,1338978
"40",199540,1995,40,1,0,1,3,3232276,453759,810525,1338978
"41",199541,1995,41,8,4,1,0,3232276,453759,810525,1338978
"42",199542,1995,42,5,4,1,0,3232276,453759,810525,1338978
"43",199543,1995,43,2,2,0,0,3232276,453759,810525,1338978
"44",199544,1995,44,1,1,0,0,3232276,453759,810525,1338978
"45",199545,1995,45,2,2,0,0,3232276,453759,810525,1338978
"46",199546,1995,46,1,1,0,0,3232276,453759,810525,1338978
"47",199547,1995,47,3,2,1,1,3232276,453759,810525,1338978
"48",199548,1995,48,3,0,1,1,3232276,453759,810525,1338978
"49",199549,1995,49,1,0,1,1,3232276,453759,810525,1338978
"50",199550,1995,50,8,3,3,1,3232276,453759,810525,1338978
"51",199551,1995,51,1,1,0,0,3232276,453759,810525,1338978
"52",199552,1995,52,1,1,0,0,3232276,453759,810525,1338978
"53",199601,1996,1,14,11,2,1,3249173,456390,815551,1347511
"54",199602,1996,2,1,1,0,0,3249173,456390,815551,1347511
"55",199603,1996,3,0,0,0,0,3249173,456390,815551,1347511
"56",199604,1996,4,2,1,0,1,3249173,456390,815551,1347511
"57",199605,1996,5,2,2,0,0,3249173,456390,815551,1347511
"58",199606,1996,6,0,0,0,0,3249173,456390,815551,1347511
"59",199607,1996,7,0,0,0,0,3249173,456390,815551,1347511
"60",199608,1996,8,1,1,0,0,3249173,456390,815551,1347511
"61",199609,1996,9,2,1,1,0,3249173,456390,815551,1347511
"62",199610,1996,10,1,1,0,0,3249173,456390,815551,1347511
"63",199611,1996,11,1,1,0,0,3249173,456390,815551,1347511
"64",199612,1996,12,1,1,0,0,3249173,456390,815551,1347511
"65",199613,1996,13,0,0,0,0,3249173,456390,815551,1347511
"66",199614,1996,14,0,0,0,0,3249173,456390,815551,1347511
"67",199615,1996,15,0,0,0,0,3249173,456390,815551,1347511
"68",199616,1996,16,1,1,0,0,3249173,456390,815551,1347511
"69",199617,1996,17,1,1,0,0,3249173,456390,815551,1347511
"70",199618,1996,18,0,0,0,0,3249173,456390,815551,1347511
"71",199619,1996,19,1,0,0,1,3249173,456390,815551,1347511
"72",199620,1996,20,1,0,0,1,3249173,456390,815551,1347511
